"","year","id","wrkstat","evwork","PRESTG10","natcrime","health","abhlth","fear","fepresch","fammhneg","safehlth","trdunion","physhlth","mntlhlth","hlthdays","hyperten","arthrtis","diabetes","depress","misswork","hlthphys","hlthmntl","abinspay","inteduc","savejobs","spschool","hlthcare","prvdschl","strngun","conschls","immcrime","crimlose","ballot","hlthstrt","rhlthend","yr_bal_id"
"11",2014,11,"KEEPING HOUSE","no",NA,"ABOUT RIGHT","fair","no","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT C",NA,NA,"2014BALLOT C11"
"12",2014,12,"other","yes",35,"ABOUT RIGHT","poor",NA,"yes","disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"AGREE STRONGLY",NA,"BALLOT A",NA,NA,"2014BALLOT A12"
"13",2014,13,"retired","yes",25,NA,"good","yes","yes","agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BALLOT A",NA,NA,"2014BALLOT A13"
"14",2014,14,"WORKING FULLTIME",NA,35,"ABOUT RIGHT","good","yes","no","disagree",NA,"Strongly Agree","Strongly Agree",0,0,0,"No","No","No","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEITHER AGREE NOR DISAGREE",NA,"BALLOT A",NA,NA,"2014BALLOT A14"
"15",2014,15,"school","yes",32,"TOO LITTLE",NA,NA,NA,"disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT B",NA,NA,"2014BALLOT B15"
"16",2014,16,"WORKING PARTTIME",NA,44,"TOO LITTLE",NA,NA,NA,"disagree",NA,"Agree","Strongly Disagree",14,7,14,"Yes","Yes","No","No",14,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT B",NA,NA,"2014BALLOT B16"
"17",2014,17,"WORKING PARTTIME",NA,48,NA,"excellent","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,NA,4,"BALLOT C",NA,NA,"2014BALLOT C17"
"18",2014,18,"WORKING FULLTIME",NA,36,NA,"good","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all interested",NA,NA,NA,NA,NA,NA,NA,4,"BALLOT C",NA,NA,"2014BALLOT C18"
"19",2014,19,"WORKING FULLTIME",NA,35,NA,NA,NA,NA,"disagree",NA,"Strongly Agree","Disagree",0,0,0,"No","No","No","No",0,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,NA,2,"BALLOT B",NA,NA,"2014BALLOT B19"
"20",2014,20,"WORKING FULLTIME",NA,21,NA,"excellent","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very interested",NA,NA,NA,NA,NA,NA,NA,1,"BALLOT C",NA,NA,"2014BALLOT C20"
"21",2014,21,"WORKING FULLTIME",NA,58,"TOO MUCH","excellent","yes","yes","disagree",NA,"Strongly Agree","Disagree",0,0,0,"No","No","No","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DISAGREE STRONGLY",NA,"BALLOT A",NA,NA,"2014BALLOT A21"
"22",2014,22,"KEEPING HOUSE","no",NA,"ABOUT RIGHT",NA,NA,NA,"agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,"NEITHER AGREE NOR DISAGREE",NA,"BALLOT B",NA,NA,"2014BALLOT B22"
"23",2014,23,"KEEPING HOUSE","yes",21,"ABOUT RIGHT","good","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT C",NA,NA,"2014BALLOT C23"
"24",2014,24,"school","yes",36,"ABOUT RIGHT","excellent","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT C",NA,NA,"2014BALLOT C24"
"25",2014,25,"WORKING FULLTIME",NA,56,NA,"good","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very interested",NA,NA,NA,NA,NA,NA,NA,5,"BALLOT C",NA,NA,"2014BALLOT C25"
"26",2014,26,"WORKING PARTTIME",NA,38,"TOO LITTLE","excellent","no","no",NA,NA,"Agree","Agree",14,30,0,"No","No","No","No",14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT C",NA,NA,"2014BALLOT C26"
"27",2014,27,"WORKING FULLTIME",NA,37,"TOO LITTLE","good","yes","yes","disagree",NA,"Strongly Agree","Agree",0,0,0,"No","No","No","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agree",NA,"BALLOT A",NA,NA,"2014BALLOT A27"
"28",2014,28,"WORKING FULLTIME",NA,69,NA,NA,NA,NA,"disagree",NA,"Agree","Disagree",1,1,2,"No","No","No","No",2,NA,NA,NA,"Not at all interested",NA,NA,NA,NA,NA,NA,NA,3,"BALLOT B",NA,NA,"2014BALLOT B28"
"29",2014,29,"WORKING FULLTIME",NA,50,NA,"good","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all interested",NA,NA,NA,NA,NA,NA,NA,6,"BALLOT C",NA,NA,"2014BALLOT C29"
"30",2014,30,"WORKING FULLTIME",NA,51,NA,"excellent","yes","yes",NA,NA,"Agree","Agree",2,20,5,"No","No","No","No",2,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,NA,1,"BALLOT C",NA,NA,"2014BALLOT C30"
"31",2014,31,"KEEPING HOUSE","yes",49,"TOO MUCH","good","yes","yes","disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agree",NA,"BALLOT A",NA,NA,"2014BALLOT A31"
"32",2014,32,"WORKING FULLTIME",NA,45,"TOO LITTLE","good","yes","yes","disagree",NA,"Strongly Agree","Strongly Disagree",0,0,0,"No","No","No","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT A",NA,NA,"2014BALLOT A32"
"33",2014,33,"TEMP NOT WORKING",NA,NA,"TOO LITTLE","good","yes","yes","STRONGLY DISAGREE",NA,"Agree","Disagree",2,10,2,"No","Yes","No","Yes",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT A",NA,NA,"2014BALLOT A33"
"34",2014,34,"WORKING FULLTIME",NA,26,NA,"good","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very interested",NA,NA,NA,NA,NA,NA,NA,7,"BALLOT C",NA,NA,"2014BALLOT C34"
"35",2014,35,"WORKING FULLTIME",NA,33,"TOO LITTLE",NA,NA,NA,"agree",NA,"Agree","Agree",0,0,0,"No","No","No","No",0,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,"NEITHER AGREE NOR DISAGREE",NA,"BALLOT B",NA,NA,"2014BALLOT B35"
"36",2014,36,"WORKING FULLTIME",NA,48,"ABOUT RIGHT","good","no","no",NA,NA,"Agree","Agree",3,0,0,"No","No","No","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT C",NA,NA,"2014BALLOT C36"
"37",2014,37,"WORKING FULLTIME",NA,21,NA,"good","yes","no","agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"BALLOT A",NA,NA,"2014BALLOT A37"
"38",2014,38,"WORKING FULLTIME",NA,45,"TOO MUCH",NA,NA,NA,"disagree",NA,"Agree","Agree",0,0,0,"No","No","No","No",0,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT B",NA,NA,"2014BALLOT B38"
"39",2014,39,"WORKING PARTTIME",NA,31,"ABOUT RIGHT","fair","yes","yes",NA,NA,"Agree",NA,7,30,5,"No","Yes","No","Yes",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT C",NA,NA,"2014BALLOT C39"
"40",2014,40,"WORKING FULLTIME",NA,38,"ABOUT RIGHT","good","yes","no",NA,NA,"Agree","Disagree",2,0,0,"No","No","No","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEITHER AGREE NOR DISAGREE",NA,"BALLOT C",NA,NA,"2014BALLOT C40"
"41",2014,41,"WORKING PARTTIME",NA,66,NA,"good","yes","no","STRONGLY DISAGREE",NA,"Agree","Disagree",0,0,0,"No","Yes","No","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"BALLOT A",NA,NA,"2014BALLOT A41"
"42",2014,42,"retired","yes",60,"TOO LITTLE","good","yes","no","STRONGLY DISAGREE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT A",NA,NA,"2014BALLOT A42"
"43",2014,43,"other","yes",24,NA,"poor","yes","no","agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"BALLOT A",NA,NA,"2014BALLOT A43"
"44",2014,44,"WORKING FULLTIME",NA,45,"TOO MUCH",NA,NA,NA,"disagree",NA,"Agree","Disagree",5,0,0,"No","No","No","Yes",0,NA,NA,NA,"Not at all interested",NA,NA,NA,NA,NA,NA,"DISAGREE STRONGLY",NA,"BALLOT B",NA,NA,"2014BALLOT B44"
"45",2014,45,"WORKING FULLTIME",NA,48,"ABOUT RIGHT","excellent","yes","yes",NA,NA,"Agree",NA,0,0,2,"No","No","No","No",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"agree",NA,"BALLOT C",NA,NA,"2014BALLOT C45"
"46",2014,46,"WORKING FULLTIME",NA,46,"TOO LITTLE","good","yes","no",NA,NA,"Agree","Agree",0,0,0,"Yes","No","No","No",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT C",NA,NA,"2014BALLOT C46"
"47",2014,47,"WORKING FULLTIME",NA,59,NA,"excellent","yes","no","disagree",NA,"Agree","Disagree",0,0,0,"No","No","No","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"BALLOT A",NA,NA,"2014BALLOT A47"
"48",2014,48,"WORKING FULLTIME",NA,35,NA,"excellent","no","no","disagree",NA,"Agree","Disagree",0,0,0,"Yes","No","No","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"BALLOT A",NA,NA,"2014BALLOT A48"
"49",2014,49,"WORKING FULLTIME",NA,51,"ABOUT RIGHT","good","yes","no","STRONGLY DISAGREE",NA,"Agree","Disagree",0,2,0,"No","No","No","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT A",NA,NA,"2014BALLOT A49"
"50",2014,50,"WORKING FULLTIME",NA,28,NA,"excellent","yes","no","agree",NA,"Agree","Agree",0,0,0,"No","No","No","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,"BALLOT A",NA,NA,"2014BALLOT A50"
"51",2014,51,"WORKING FULLTIME",NA,47,"TOO LITTLE",NA,NA,NA,"agree",NA,"Strongly Agree","Disagree",1,0,0,"No","Yes","No","No",0,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT B",NA,NA,"2014BALLOT B51"
"52",2014,52,"WORKING FULLTIME",NA,61,"TOO LITTLE","fair","yes","yes",NA,NA,"Strongly Agree","Agree",10,1,15,"Yes","No","No","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT C",NA,NA,"2014BALLOT C52"
"53",2014,53,"WORKING FULLTIME",NA,31,NA,"good","yes","no",NA,NA,"Strongly Agree","Disagree",0,0,0,"No","No","No","No",0,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,NA,7,"BALLOT C",NA,NA,"2014BALLOT C53"
"54",2014,54,"KEEPING HOUSE","yes",47,"TOO MUCH",NA,NA,NA,"agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,"NEITHER AGREE NOR DISAGREE",NA,"BALLOT B",NA,NA,"2014BALLOT B54"
"55",2014,55,"WORKING FULLTIME",NA,51,NA,"good","yes","no","disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,"BALLOT A",NA,NA,"2014BALLOT A55"
"56",2014,56,"WORKING PARTTIME",NA,52,"TOO LITTLE","excellent","yes","yes","STRONGLY DISAGREE",NA,"Strongly Agree","Agree",4,2,2,"No","No","No","No",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DISAGREE STRONGLY",NA,"BALLOT A",NA,NA,"2014BALLOT A56"
"57",2014,57,"retired","yes",47,NA,"fair","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all interested",NA,NA,NA,NA,NA,NA,NA,3,"BALLOT C",NA,NA,"2014BALLOT C57"
"58",2014,58,"WORKING FULLTIME",NA,39,"TOO MUCH","good","yes","yes",NA,NA,"Strongly Agree","Disagree",0,0,0,"No","No","No","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT C",NA,NA,"2014BALLOT C58"
"59",2014,59,"WORKING FULLTIME",NA,45,NA,NA,NA,NA,"disagree",NA,NA,"Strongly Disagree",0,0,0,"Yes","Yes","Yes","No",0,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,NA,7,"BALLOT B",NA,NA,"2014BALLOT B59"
"60",2014,60,"KEEPING HOUSE","yes",60,"TOO LITTLE","excellent","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEITHER AGREE NOR DISAGREE",NA,"BALLOT C",NA,NA,"2014BALLOT C60"
"61",2014,61,"WORKING PARTTIME",NA,36,NA,"good","yes","yes",NA,NA,"Strongly Agree","Agree",1,3,1,"No","No","No","No",1,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,NA,7,"BALLOT C",NA,NA,"2014BALLOT C61"
"62",2014,62,"WORKING FULLTIME",NA,43,NA,NA,NA,NA,"disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,NA,1,"BALLOT B",NA,NA,"2014BALLOT B62"
"63",2014,63,"other","yes",64,"ABOUT RIGHT","good","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DISAGREE STRONGLY",NA,"BALLOT C",NA,NA,"2014BALLOT C63"
"64",2014,64,"WORKING FULLTIME",NA,55,NA,"excellent","yes","no",NA,NA,"Strongly Agree","Disagree",0,0,0,"No","No","No","No",0,NA,NA,NA,"Not at all interested",NA,NA,NA,NA,NA,NA,NA,5,"BALLOT C",NA,NA,"2014BALLOT C64"
"65",2014,65,"WORKING FULLTIME",NA,60,NA,"good","yes","no","disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"BALLOT A",NA,NA,"2014BALLOT A65"
"66",2014,66,"WORKING FULLTIME",NA,63,NA,"excellent","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,NA,NA,"BALLOT C",NA,NA,"2014BALLOT C66"
"67",2014,67,"WORKING FULLTIME",NA,63,NA,"excellent","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,NA,5,"BALLOT C",NA,NA,"2014BALLOT C67"
"68",2014,68,"WORKING FULLTIME",NA,57,NA,NA,NA,NA,"STRONGLY DISAGREE",NA,"Agree","Agree",0,0,0,"No","No","No","No",0,NA,NA,NA,"Not at all interested",NA,NA,NA,NA,NA,NA,NA,7,"BALLOT B",NA,NA,"2014BALLOT B68"
"69",2014,69,"WORKING FULLTIME",NA,31,NA,"good","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,NA,5,"BALLOT C",NA,NA,"2014BALLOT C69"
"70",2014,70,"WORKING FULLTIME",NA,31,NA,"fair","yes","no",NA,NA,"Agree","Strongly Disagree",4,14,4,"No","No","Yes","Yes",0,NA,NA,NA,"Not at all interested",NA,NA,NA,NA,NA,NA,NA,1,"BALLOT C",NA,NA,"2014BALLOT C70"
"71",2014,71,"other","yes",50,"TOO LITTLE",NA,NA,NA,"STRONGLY AGREE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,"NEITHER AGREE NOR DISAGREE",NA,"BALLOT B",NA,NA,"2014BALLOT B71"
"72",2014,72,"retired","yes",61,"TOO LITTLE","good","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT C",NA,NA,"2014BALLOT C72"
"73",2014,73,"WORKING FULLTIME",NA,39,NA,NA,NA,NA,"STRONGLY DISAGREE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all interested",NA,NA,NA,NA,NA,NA,NA,7,"BALLOT B",NA,NA,"2014BALLOT B73"
"74",2014,74,"WORKING FULLTIME",NA,55,"TOO LITTLE",NA,NA,NA,"STRONGLY DISAGREE",NA,"Strongly Agree","Disagree",0,0,0,"No","No","No","No",0,NA,NA,NA,"Very interested",NA,NA,NA,NA,NA,NA,"DISAGREE STRONGLY",NA,"BALLOT B",NA,NA,"2014BALLOT B74"
"75",2014,75,"WORKING FULLTIME",NA,64,NA,"fair","yes","yes",NA,NA,"Agree","Strongly Agree",1,1,1,"No","No","Yes","No",1,NA,NA,NA,"Very interested",NA,NA,NA,NA,NA,NA,NA,4,"BALLOT C",NA,NA,"2014BALLOT C75"
"76",2014,76,"KEEPING HOUSE","yes",64,"TOO LITTLE","good","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DISAGREE STRONGLY",NA,"BALLOT C",NA,NA,"2014BALLOT C76"
"77",2014,77,"WORKING FULLTIME",NA,42,"ABOUT RIGHT","excellent","yes","no",NA,NA,"Strongly Agree","Agree",0,0,0,"Yes","No","Yes","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DISAGREE STRONGLY",NA,"BALLOT C",NA,NA,"2014BALLOT C77"
"78",2014,78,"WORKING FULLTIME",NA,52,NA,"good","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,NA,NA,"BALLOT C",NA,NA,"2014BALLOT C78"
"79",2014,79,"KEEPING HOUSE","yes",48,NA,"poor","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT C",NA,NA,"2014BALLOT C79"
"80",2014,80,"other","yes",35,"TOO MUCH","poor","no","yes","agree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"BALLOT A",NA,NA,"2014BALLOT A80"
"81",2014,81,"WORKING FULLTIME",NA,25,"TOO LITTLE",NA,NA,NA,"disagree",NA,"Agree","Agree",0,0,0,"No","No","No","No",0,NA,NA,NA,"Moderately interested",NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT B",NA,NA,"2014BALLOT B81"
"82",2014,82,"UNEMPL, LAID OFF",NA,31,NA,"good","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all interested",NA,NA,NA,NA,NA,NA,NA,7,"BALLOT C",NA,NA,"2014BALLOT C82"
"83",2014,83,"UNEMPL, LAID OFF",NA,31,"TOO LITTLE","poor","no","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"DISAGREE STRONGLY",NA,"BALLOT C",NA,NA,"2014BALLOT C83"
"84",2014,84,"KEEPING HOUSE","yes",33,NA,"poor","no","no","STRONGLY AGREE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"BALLOT A",NA,NA,"2014BALLOT A84"
"85",2014,85,"KEEPING HOUSE","yes",28,NA,"good","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very interested",NA,NA,NA,NA,NA,NA,NA,1,"BALLOT C",NA,NA,"2014BALLOT C85"
"86",2014,86,"KEEPING HOUSE","yes",48,NA,NA,NA,NA,"disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very interested",NA,NA,NA,NA,NA,NA,NA,4,"BALLOT B",NA,NA,"2014BALLOT B86"
"87",2014,87,"UNEMPL, LAID OFF",NA,38,"TOO MUCH",NA,NA,NA,"disagree",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Not at all interested",NA,NA,NA,NA,NA,NA,"NEITHER AGREE NOR DISAGREE",NA,"BALLOT B",NA,NA,"2014BALLOT B87"
"88",2014,88,"WORKING FULLTIME",NA,39,NA,"excellent","yes","no",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very interested",NA,NA,NA,NA,NA,NA,NA,4,"BALLOT C",NA,NA,"2014BALLOT C88"
"89",2014,89,"WORKING FULLTIME",NA,31,"ABOUT RIGHT","good","yes","yes","STRONGLY DISAGREE",NA,"Disagree","Agree",5,15,3,"No","No","No","No",5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT A",NA,NA,"2014BALLOT A89"
"90",2014,90,"WORKING FULLTIME",NA,48,"TOO LITTLE","good","no","no",NA,NA,"Agree","Agree",0,0,0,"Yes","No","No","No",0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT C",NA,NA,"2014BALLOT C90"
"91",2014,91,"WORKING FULLTIME",NA,66,"TOO LITTLE",NA,NA,NA,"agree",NA,"Agree","Agree",0,0,0,"No","No","No","No",0,NA,NA,NA,"Very interested",NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT B",NA,NA,"2014BALLOT B91"
"92",2014,92,"retired","yes",35,NA,"poor","no","no","STRONGLY DISAGREE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,"BALLOT A",NA,NA,"2014BALLOT A92"
"93",2014,93,"other","yes",51,NA,"excellent","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Very interested",NA,NA,NA,NA,NA,NA,NA,1,"BALLOT C",NA,NA,"2014BALLOT C93"
"94",2014,94,"WORKING PARTTIME",NA,48,"ABOUT RIGHT",NA,NA,NA,"STRONGLY DISAGREE",NA,"Strongly Agree","Agree",0,0,0,"No","No","No","No",0,NA,NA,NA,"Very interested",NA,NA,NA,NA,NA,NA,"disagree",NA,"BALLOT B",NA,NA,"2014BALLOT B94"
